Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2901,Grand Total,2014,2014,kcal/capita/day,2442,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2901,Grand Total,2015,2015,kcal/capita/day,2461,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2901,Grand Total,2016,2016,kcal/capita/day,2496,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2901,Grand Total,2017,2017,kcal/capita/day,2517,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2901,Grand Total,2014,2014,g/capita/day,61.38,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2901,Grand Total,2015,2015,g/capita/day,61.96,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2901,Grand Total,2016,2016,g/capita/day,63.11,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2901,Grand Total,2017,2017,g/capita/day,65.33,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2901,Grand Total,2014,2014,g/capita/day,52.44,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2901,Grand Total,2015,2015,g/capita/day,52.55,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2901,Grand Total,2016,2016,g/capita/day,54.4,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2901,Grand Total,2017,2017,g/capita/day,56.84,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2903,Vegetal Products,2014,2014,kcal/capita/day,2195,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2903,Vegetal Products,2015,2015,kcal/capita/day,2202,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2903,Vegetal Products,2016,2016,kcal/capita/day,2227,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2903,Vegetal Products,2017,2017,kcal/capita/day,2237,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2903,Vegetal Products,2014,2014,g/capita/day,48.5,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2903,Vegetal Products,2015,2015,g/capita/day,48.44,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2903,Vegetal Products,2016,2016,g/capita/day,49.01,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2903,Vegetal Products,2017,2017,g/capita/day,50.62,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2903,Vegetal Products,2014,2014,g/capita/day,36.09,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2903,Vegetal Products,2015,2015,g/capita/day,35.5,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2903,Vegetal Products,2016,2016,g/capita/day,36.83,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2903,Vegetal Products,2017,2017,g/capita/day,38.59,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2941,Animal Products,2014,2014,kcal/capita/day,247,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2941,Animal Products,2015,2015,kcal/capita/day,259,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2941,Animal Products,2016,2016,kcal/capita/day,269,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2941,Animal Products,2017,2017,kcal/capita/day,280,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2941,Animal Products,2014,2014,g/capita/day,12.88,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2941,Animal Products,2015,2015,g/capita/day,13.52,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2941,Animal Products,2016,2016,g/capita/day,14.09,Fc,Calculated data
