Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","100","India","5511","Production","2905","Cereals - Excluding Beer","2014","2014","1000 tonnes","296055","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2905","Cereals - Excluding Beer","2015","2015","1000 tonnes","284376","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2905","Cereals - Excluding Beer","2016","2016","1000 tonnes","297897","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","313659","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2907","Starchy Roots","2014","2014","1000 tonnes","55627","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2907","Starchy Roots","2015","2015","1000 tonnes","53615","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2907","Starchy Roots","2016","2016","1000 tonnes","49221","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2907","Starchy Roots","2017","2017","1000 tonnes","54242","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2908","Sugar Crops","2014","2014","1000 tonnes","352142","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2908","Sugar Crops","2015","2015","1000 tonnes","362333","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2908","Sugar Crops","2016","2016","1000 tonnes","348448","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2908","Sugar Crops","2017","2017","1000 tonnes","306069","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2909","Sugar & Sweeteners","2014","2014","1000 tonnes","34766","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2909","Sugar & Sweeteners","2015","2015","1000 tonnes","36976","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2909","Sugar & Sweeteners","2016","2016","1000 tonnes","33114","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2909","Sugar & Sweeteners","2017","2017","1000 tonnes","28608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2911","Pulses","2014","2014","1000 tonnes","20027","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2911","Pulses","2015","2015","1000 tonnes","17314","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2911","Pulses","2016","2016","1000 tonnes","18154","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2911","Pulses","2017","2017","1000 tonnes","23241","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2912","Treenuts","2014","2014","1000 tonnes","1418","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2912","Treenuts","2015","2015","1000 tonnes","1527","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2912","Treenuts","2016","2016","1000 tonnes","1418","A","Aggregate, may include official, semi-official, estimated or calculated data"
